player_id,player_name,batting_innings,bowling_innings,total_runs_scored,total_balls_faced,total_fours,total_sixes,total_catches,total_runouts,total_balls_bowled,total_dot_balls,total_wickets,total_LBWs/Bowled,total_runs_conceded,total_stumpings
4d0055a0,MA Parker,0,1,0,0,0,0,0,0,26,7,1,0,41,0
c13b2833,R Flannigan,2,0,33,28,3,0,0,0,0,0,0,0,0,0
20f4a109,TGJ Gruijters,5,6,48,48,3,1,4,0,91,44,3,1,96,0
c4d28aa3,MS Aulakh,1,3,0,2,0,0,1,0,62,21,3,2,85,0
2f3817ce,TP Sudhindra,0,3,0,0,0,0,0,0,74,18,1,0,137,0
7d3720ba,RR Bhatkal,1,1,0,2,0,0,1,0,12,0,0,0,35,0
1a0c3177,P Awana,6,41,13,26,2,0,4,1,942,369,52,10,1258,0
99b202b3,A Chandila,2,12,4,7,0,0,2,0,234,103,11,0,245,0
7fe17a67,Saghir Hossain,1,0,6,15,1,0,2,0,0,0,0,0,0,3
e59ec361,Qaisar Abbas,1,1,6,4,1,0,0,0,24,7,0,0,42,0
0e9af639,Talha Jubair,2,3,5,10,1,0,0,0,83,36,0,0,89,0
cbfd2a67,TL Maynard,3,0,40,44,4,0,1,0,0,0,0,0,0,0
7f9bd93c,Farhad Hossain,4,5,40,41,2,2,2,1,75,36,4,2,91,0
b82354b3,Raza Ali Dar,1,1,8,19,0,0,0,0,8,1,0,0,18,0
e191bf68,Rameez Raja,2,0,48,38,4,1,0,0,0,0,0,0,0,0
07a67c50,Noor Hossain,1,5,4,1,1,0,2,0,98,33,5,0,113,0
81c29317,SL Munroe,0,13,0,0,0,0,3,0,334,165,7,2,281,0
3703d634,S Weerakoon,0,1,0,0,0,0,0,0,61,19,1,1,49,0
85902ca9,Mohammad Ayub,2,0,47,168,4,0,1,0,0,0,0,0,0,0
a02a6cb1,BP Martin,6,9,74,142,14,0,0,0,1525,1227,12,1,654,0
1e0db2f4,TR Craddock,1,2,0,1,0,0,0,1,66,43,1,0,53,0
9f54ae00,GD Putland,2,7,1,4,0,0,3,1,139,51,3,1,189,0
b1d5b43c,JD Smith,1,0,5,9,0,0,0,0,0,0,0,0,0,0
278fd5ff,BE Young,2,4,12,16,0,0,0,0,84,35,5,3,103,0
e3882f9a,SJC Keen,4,2,42,43,2,2,3,0,25,5,1,1,38,0
1952e660,MW Hill,10,0,268,221,21,9,6,0,0,0,0,0,0,0
439083c2,AR Keath,2,1,10,11,0,0,2,0,6,0,0,0,27,0
a2f71c9f,DJ van Wyk,6,0,77,79,7,1,3,0,0,0,0,0,0,0
ca322fd6,L Mbane,4,23,12,14,1,0,1,0,403,101,22,7,582,0
625e4e56,FC Plaatjies,0,2,0,0,0,0,1,0,33,9,0,0,51,0
defcefc8,CR Pedersen,10,0,187,314,19,1,1,1,0,0,0,0,0,3
5cd712e7,Shehzad Ahmed,6,0,120,263,10,0,3,0,0,0,0,0,0,0
1b068ee9,A Lambert,5,0,137,211,15,1,1,0,0,0,0,0,0,0
3a8becb6,HS Hansen,2,2,12,16,2,0,1,0,39,23,0,0,40,0
5f272b72,AB Chawla,4,5,34,38,7,0,1,0,198,125,5,3,120,0
7cb0a81a,L Slebsager,5,4,9,20,1,0,1,1,203,120,4,2,116,0
bd3c0b79,KB Shinde,19,0,322,434,28,5,15,3,0,0,0,0,0,1
76adf39f,M Arora,4,0,139,188,19,0,2,0,0,0,0,0,0,0
488f6d91,C Janik,19,10,386,666,35,5,1,0,333,196,8,1,243,0
4ef823a2,S Regmi,3,8,19,22,2,0,1,0,326,209,12,3,225,0
3cd10113,Saad Janjua,15,17,220,240,16,9,6,1,468,246,22,9,372,0
1cba4ec3,S Navaratnam,9,14,29,65,2,0,5,1,585,351,14,6,443,0
288ea226,Hassan Ghulam,13,16,104,167,8,3,3,0,676,371,29,5,527,0
6cfb0d9b,B Narender Reddy,2,2,23,62,1,0,0,0,54,35,0,0,23,0
10f4518c,HB Ralalage,3,3,5,28,0,0,1,0,101,48,4,1,101,0
2b8718c8,Shahrulnizam Yusof,7,24,36,55,3,0,9,1,897,504,33,8,672,0
437a0c22,PVSS Raja,1,1,4,6,0,0,0,0,30,21,3,0,13,0
d0cff8fd,R Madhavan,2,0,13,67,0,0,0,0,0,0,0,0,0,0
e5ba297b,A Rajp,0,2,0,0,0,0,4,0,74,29,3,2,73,0
6e0a942c,Hammadullah Khan,10,2,127,232,12,1,1,0,26,13,0,0,30,0
0b903e68,Nik Arifin,1,1,0,1,0,0,0,0,12,6,0,0,15,0
ecb6d7e2,SAN Anjum,1,1,2,6,0,0,0,0,33,23,0,0,25,0
8e3fcab1,RG Corns,2,2,36,43,2,1,0,1,73,33,2,0,52,0
47f6e4a5,P Baskota,2,2,26,31,3,1,2,0,84,65,1,1,31,0
5d08f132,Taha Ahmed,6,0,59,73,3,2,2,0,0,0,0,0,0,0
e1d712bb,A Kind-David,2,2,9,15,0,1,1,0,53,22,0,0,51,0
b452c81f,L Natapei,2,0,41,81,4,1,1,0,0,0,0,0,0,0
c0cc1507,L Ateak,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9f4ad015,J Shearer,2,0,14,20,2,0,0,0,0,0,0,0,0,0
511e02e2,L Yonten,4,4,29,71,2,0,0,0,118,68,3,2,117,0
389383ba,NA Miyaji,2,2,34,134,3,0,0,0,58,39,1,0,35,0
e59c75c7,DK Subba,2,3,5,15,1,0,0,1,134,87,5,4,78,0
